#      energy (eV)      DOS (tetra.)      DOS (gauss.)
    -16.0998757220      0.1628088349      0.1964406247
    -16.0848758377      0.1629415707      0.1922956646
    -16.0698759535      0.1630743064      0.1880165815
    -16.0548760693      0.1632070422      0.1836734297
    -16.0398761851      0.1633397780      0.1793315099
    -16.0248763009      0.1634725137      0.1750498314
    -16.0098764167      0.1636052495      0.1708797944
    -15.9948765325      0.1637379852      0.1668641435
    -15.9798766483      0.1638707210      0.1630362310
    -15.9648767640      0.1640034567      0.1594196273
    -15.9498768798      0.1641361925      0.1560280974
    -15.9348769956      0.1642689282      0.1528659572
    -15.9198771114      0.1644016640      0.1499288010
    -15.9048772272      0.1645343998      0.1472045836
    -15.8898773430      0.1646671355      0.1446750184
    -15.8748774588      0.1647998713      0.1423172420
    -15.8598775746      0.1649326070      0.1401056796
    -15.8448776903      0.1650653428      0.1380140355
    -15.8298778061      0.1651980785      0.1360173240
    -15.8148779219      0.1653308143      0.1340938505
    -15.7998780377      0.1654635500      0.1322270530
    -15.7848781535      0.1655962858      0.1304071180
    -15.7698782693      0.1657333541      0.1286322889
    -15.7548783851      0.1659671301      0.1269098024
    -15.7398785009      0.1662009061      0.1252563977
    -15.7248786166      0.1664346822      0.1236983651
    -15.7098787324      0.1666684582      0.1222711179
    -15.6948788482      0.1669022343      0.1210182938
    -15.6798789640      0.1671360103      0.1199904118
    -15.6648790798      0.1673697863      0.1192431309
    -15.6498791956      0.1676035624      0.1188351756
    -15.6348793114      0.1678373384      0.1188260070
    -15.6198794271      0.1680711145      0.1192733318
    -15.6048795429      0.1683048905      0.1202305500
    -15.5898796587      0.1685386665      0.1217442445
    -15.5748797745      0.1687724426      0.1238518162
    -15.5598798903      0.1690062186      0.1265793645
    -15.5448800061      0.1692399946      0.1299399025
    -15.5298801219      0.1694737707      0.1339319850
    -15.5148802377      0.1697075467      0.1385388090
    -15.4998803534      0.1699413228      0.1437278313
    -15.4848804692      0.1701750988      0.1494509241
    -15.4698805850      0.1704088748      0.1556450697
    -15.4548807008      0.1706426509      0.1622335721
    -15.4398808166      0.1708764269      0.1691277454
    -15.4248809324      0.1711102030      0.1762290160
    -15.4098810482      0.1713439790      0.1834313621
    -15.3948811640      0.1715777550      0.1906239994
    -15.3798812797      0.1718115311      0.1976942132
    -15.3648813955      0.1720453071      0.2045302326
    -15.3498815113      0.1722790832      0.2110240420
    -15.3348816271      0.1724063981      0.2170740314
    -15.3198817429      0.1724386748      0.2225873936
    -15.3048818587      0.1724709515      0.2274821943
    -15.2898819745      0.1725032281      0.2316890523
    -15.2748820902      0.1725355048      0.2351523903
    -15.2598822060      0.1727544547      0.2378312360
    -15.2448823218      0.1732480678      0.2396995720
    -15.2298824376      0.1737720836      0.2407462549
    -15.2148825534      0.1742960994      0.2409745397
    -15.1998826692      0.1748201152      0.2404012607
    -15.1848827850      0.1753441310      0.2390557300
    -15.1698829008      0.1758681468      0.2369784211
    -15.1548830165      0.1763921626      0.2342195079
    -15.1398831323      0.1769161784      0.2308373240
    -15.1248832481      0.1774401942      0.2268968057
    -15.1098833639      0.1779642100      0.2224679667
    -15.0948834797      0.1784882258      0.2176244475
    -15.0798835955      0.1790122416      0.2124421643
    -15.0648837113      0.1795362574      0.2069980731
    -15.0498838271      0.1800602731      0.2013690518
    -15.0348839428      0.1805842889      0.1956308943
    -15.0198840586      0.1811083047      0.1898574038
    -15.0048841744      0.1822516363      0.1841195666
    -14.9898842902      0.1834359871      0.1784847919
    -14.9748844060      0.1846203380      0.1730162012
    -14.9598845218      0.1858046888      0.1677719589
    -14.9448846376      0.1869890396      0.1628046416
    -14.9298847533      0.1881733904      0.1581606531
    -14.9148848691      0.1893577412      0.1538796996
    -14.8998849849      0.1905420921      0.1499943473
    -14.8848851007      0.1917264429      0.1465296898
    -14.8698852165      0.1929107937      0.1435031570
